formula,processing,structure_type,test_temp_C,Al_at_pct,Co_at_pct,Cr_at_pct,Cu_at_pct,Fe_at_pct,Mn_at_pct,Ni_at_pct,Ti_at_pct,V_at_pct,Zr_at_pct,Nb_at_pct,Mo_at_pct,W_at_pct,Hf_at_pct,Ta_at_pct,Si_at_pct,hardness_HV,density_calc,grain_size_um,yield_strength_MPa,uts_MPa,elongation_pct,young_modulus_calc_GPa
Co1 Cr1 Fe1 Mn1 Ni1,WROUGHT,FCC,25.0,0.0,20.0,20.0,0.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,8.0,0.166,1362.74,1471.05,3.15,220.0
Co1 Cr1 Fe1 Mn1 Ni1,WROUGHT,FCC,25.0,0.0,20.0,20.0,0.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,8.0,0.248,1241.81,1325.25,4.31,220.0
Co1 Cr1 Fe1 Mn1 Ni1,WROUGHT,FCC,25.0,0.0,20.0,20.0,0.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,8.0,0.4679999999999999,930.3,1021.32,19.01,220.0
Co1 Cr1 Fe1 Mn1 Ni1,WROUGHT,FCC,25.0,0.0,20.0,20.0,0.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,8.0,1.79,729.21,901.74,26.3,220.0
Co1 Cr1 Fe1 Mn1 Ni1,WROUGHT,FCC,25.0,0.0,20.0,20.0,0.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,8.0,4.57,494.82,735.6,38.7,220.0
Co1 Cr1 Fe1 Mn1 Ni1,WROUGHT,FCC,25.0,0.0,20.0,20.0,0.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,8.0,13.45,366.88,673.25,42.55,220.0
Co1 Cr1 Fe1 Mn1 Ni1,WROUGHT,FCC,25.0,0.0,20.0,20.0,0.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,8.0,22.37,290.65,618.51,43.15,220.0
Co1 Cr1 Fe1 Mn1 Ni1,WROUGHT,FCC,25.0,0.0,20.0,20.0,0.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,8.0,30.6,258.76,598.75,45.05,220.0
C0.1 Co1 Cr1 Fe1 Mn1 Ni1 Ti0.1,POWDER,other,25.0,0.0,19.61,19.61,0.0,19.61,19.61,19.61,1.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,457.0,7.8,,1616.0,,,
C0.1 Co1 Cr1 Fe1 Mn1 Ni1 Ti0.1,POWDER,other,25.0,0.0,19.61,19.61,0.0,19.61,19.61,19.61,1.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,461.0,7.8,,1652.0,,,
C0.1 Co1 Cr1 Fe1 Mn1 Ni1 Ti0.1,POWDER,other,25.0,0.0,19.61,19.61,0.0,19.61,19.61,19.61,1.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,428.0,7.8,,1490.0,,,
C0.1 Co1 Cr1 Fe1 Mn1 Ni1 Ti0.1,POWDER,other,25.0,0.0,19.61,19.61,0.0,19.61,19.61,19.61,1.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,378.0,7.8,,1194.0,,,
Al0.143 Cr0.343 Fe1 Mn0.8 Ni0.571,CAST,FCC,25.0,5.01,0.0,12.01,0.0,35.0,28.0,19.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,7.5,,280.0,556.0,48.0,204.0
Al0.286 Cr0.343 Fe1 Mn0.657 Ni0.571,WROUGHT,FCC,25.0,10.01,0.0,12.01,0.0,35.0,23.0,19.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,7.2,,320.0,625.0,42.2,195.0
Al0.143 Cr0.343 Fe1 Mn0.8 Ni0.571,CAST,FCC,25.0,5.01,0.0,12.01,0.0,35.0,28.0,19.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,7.5,,1253.0,1392.0,6.78,204.0
Al0.286 Cr0.343 Fe1 Mn0.657 Ni0.571,WROUGHT,FCC,25.0,10.01,0.0,12.01,0.0,35.0,23.0,19.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,7.2,,1400.0,1500.0,5.83,195.0
Co1 Cr1 Fe1 Mo0.15 Ni1,CAST,FCC,25.0,0.0,24.1,24.1,0.0,24.1,0.0,24.1,0.0,0.0,0.0,0.0,3.61,0.0,0.0,0.0,0.0,,8.3,,489.0,895.0,,231.0
Co1 Cr1 Fe1 Mo0.15 Ni1,WROUGHT,other,25.0,0.0,24.1,24.1,0.0,24.1,0.0,24.1,0.0,0.0,0.0,0.0,3.61,0.0,0.0,0.0,0.0,,8.3,,873.0,,,
Co1 Cr1 Fe1 Mo0.15 Ni1,WROUGHT,other,25.0,0.0,24.1,24.1,0.0,24.1,0.0,24.1,0.0,0.0,0.0,0.0,3.61,0.0,0.0,0.0,0.0,,8.3,,952.0,1122.0,,
Co1 Cr1 Fe1 Mo0.15 Ni1,WROUGHT,FCC,25.0,0.0,24.1,24.1,0.0,24.1,0.0,24.1,0.0,0.0,0.0,0.0,3.61,0.0,0.0,0.0,0.0,,8.3,,1136.0,1245.0,,231.0
Co1 Cr1 Fe1 Mo0.15 Ni1,WROUGHT,FCC,25.0,0.0,24.1,24.1,0.0,24.1,0.0,24.1,0.0,0.0,0.0,0.0,3.61,0.0,0.0,0.0,0.0,,8.3,,1301.0,1493.0,,231.0
Co1 Cr1 Fe1 Mo0.15 Ni1,WROUGHT,other,25.0,0.0,24.1,24.1,0.0,24.1,0.0,24.1,0.0,0.0,0.0,0.0,3.61,0.0,0.0,0.0,0.0,,8.3,,1311.0,1421.0,,
Co1 Cr1 Fe1 Mo0.15 Ni1,WROUGHT,other,25.0,0.0,24.1,24.1,0.0,24.1,0.0,24.1,0.0,0.0,0.0,0.0,3.61,0.0,0.0,0.0,0.0,,8.3,,1273.0,1458.0,,
Co0.139 Cr0.446 Cu0.99 Ni1 Si0.277,WROUGHT,other,25.0,0.0,4.87,15.64,34.71,0.0,0.0,35.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.71,142.5,7.6,,777.0,810.0,3.4,
Al1 Co1 Cu1 Fe1 Ni0.5,CAST,other,25.0,22.22,22.22,0.0,22.22,22.22,0.0,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,430.9,6.9,,929.0,,13.7,
Al1 Co1 Cu1 Fe1 Ni0.8,CAST,other,25.0,20.83,20.83,0.0,20.83,20.83,0.0,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420.0,7.0,,1021.0,,12.3,
Al1 Co1 Cu1 Fe1 Ni1,CAST,other,25.0,20.0,20.0,0.0,20.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,391.4,7.0,,994.0,,24.5,
Al0.667 Co0.667 Cu0.667 Fe0.667 Ni1,CAST,other,25.0,18.18,18.18,0.0,18.18,18.18,0.0,27.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323.8,7.2,,680.0,,35.9,
Al0.5 Co0.5 Cu0.5 Fe0.5 Ni1,CAST,other,25.0,16.67,16.67,0.0,16.67,16.67,0.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299.2,7.3,,544.0,,,
Al0.333 Co0.333 Cu0.333 Fe0.333 Ni1,CAST,FCC,25.0,14.28,14.28,0.0,14.28,14.28,0.0,42.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,279.6,7.5,,268.0,,,167.0
Al0.5 Cr1 Fe1 Mn1 Ni1,CAST,other,25.0,11.11,0.0,22.22,0.0,22.22,22.22,22.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,7.1,,1091.0,,50.0,
Al0.6 Cr1 Fe1 Mn1 Ni1,CAST,other,25.0,13.04,0.0,21.74,0.0,21.74,21.74,21.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,361.0,6.9,,1130.0,,53.0,
Al0.7 Cr1 Fe1 Mn1 Ni1,CAST,other,25.0,14.89,0.0,21.28,0.0,21.28,21.28,21.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.0,6.8,,1170.0,,55.0,
Al0.8 Cr1 Fe1 Mn1 Ni1,CAST,other,25.0,16.67,0.0,20.83,0.0,20.83,20.83,20.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,386.0,6.7,,1200.0,,55.0,
Co1 Cr0.2 Fe1 Ni1 Si0.2,CAST,FCC,25.0,0.0,29.41,5.88,0.0,29.41,0.0,29.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.88,130.1,7.8,,225.0,732.0,61.0,195.0
Co1 Cr0.2 Fe1 Ni1 Si0.2,WROUGHT,FCC,25.0,0.0,29.41,5.88,0.0,29.41,0.0,29.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.88,318.2,7.8,,705.0,1070.0,10.0,195.0
Co1 Cr0.2 Fe1 Ni1 Si0.2,WROUGHT,FCC,25.0,0.0,29.41,5.88,0.0,29.41,0.0,29.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.88,153.8,7.8,,320.0,920.0,60.0,195.0
Al1 Cu0.077 Fe0.077 Mg0.077 Si0.231 Zn0.077,CAST,FCC,25.0,72.2,0.0,0.0,5.56,5.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.68,,3.2,,422.0,,1.0,73.0
